AlertID,CardHolderId,CardNumber,ExpirationDate,TransactionID,TransactionChannel,AmountUSD,MerchantName,EmailID,Location,IP,FraudAlertReason,RiskScore,Status
AL0022,OP888,xxxx-xxxx-xxxx-5566,01/2031,LHY340,In store,123.45,BBC Studios,qrstuvwxy@web.info,"Newcastle, UK",55.44.33.22,Mismatched billing address,58,Under Review
AL0024,ST000,xxxx-xxxx-xxxx-9900,07/2023,OUS089,ATM,7,EasyJet,hijklmnopq@example.com,"Rome, Italy",10.0.0.1,Low value foreign,18,Fraud Detected
AL0025,UV121,xxxx-xxxx-xxxx-2121,06/2034,HWG508,Wallet,0,Ryanair,rstuvwxyza@test.org,"Manchester, UK",185.220.101.7,Suspicious zero amount attempt,98,Escalated
AL0026,WX343,xxxx-xxxx-xxxx-4343,09/2027,XXJ202,Online,543.21,British Airways,bcdefghijkl@mail.net,"Leicester, UK",203.0.113.0,Compromised card,62,Investigating
AL0027,YZ565,xxxx-xxxx-xxxx-6565,02/2030,LZL032,Subscription,12.34,Jaguar Land Rover,mnopqrstuvw@web.info,"Birmingham, UK",72.217.36.105,Suspicious IP address,73,Resolved
AL0028,AB787,xxxx-xxxx-xxxx-8787,10/2031,HRQ718,Telephone,98.76,Next Plc,xyzabcdefgh@domain.co.uk,"Perth, Australia",20.30.40.50,Foreign location,45,Pending Action
AL0029,CD909,xxxx-xxxx-xxxx-0909,04/2024,ZTW456,In store,20000,Marks & Spencer,ijklmnopqr@example.com,"London, UK",1.1.1.1,High amount,89,Under Review
AL0030,EF131,xxxx-xxxx-xxxx-1313,11/2029,VQG556,POS,8.5,JD Sports,stuvwxy@test.org,"Dubai, UAE",8.8.8.8,Low value foreign,16,Action Required
AL0031,GH353,xxxx-xxxx-xxxx-3535,05/2032,WIG527,ATM,0,Greggs,zabcdefghi@mail.net,"Glasgow, UK",192.168.0.1,Suspicious zero amount attempt,91,Escalated
AL0032,IJ575,xxxx-xxxx-xxxx-5757,08/2025,MOH096,Wallet,321.65,Whitbread,jklmnopqrstu@web.info,"Edinburgh, UK",4.4.4.4,Abnormal spending pattern,60,Investigating
AL0033,KL797,xxxx-xxxx-xxxx-7979,01/2023,FNX219,Online,78.9,WPP,vwxyzabcde@domain.co.uk,"Liverpool, UK",100.101.102.103,Incorrect expiration dates,22,Dismissed
AL0035,OP101,xxxx-xxxx-xxxx-1010,03/2033,FUY699,Telephone,11000,Experian,uvwxyzabcdefg@test.org,"Birmingham, UK",150.150.150.150,High amount,82,Under Review
AL0036,QR323,xxxx-xxxx-xxxx-3232,12/2026,XPL941,In store,9.99,Persimmon,hijklmnopqrs@mail.net,"Accra, Ghana",10.11.12.13,Low value foreign,14,Action Required
AL0037,ST545,xxxx-xxxx-xxxx-5454,07/2028,BQI558,POS,0,Taylor Wimpey,tuvwxyza@web.info,"Sheffield, UK",107.189.8.56,Suspicious zero amount attempt,94,Escalated
AL0038,UV767,xxxx-xxxx-xxxx-7676,02/2031,JCS918,ATM,67.89,Barratt Developments,bcdefghijk@domain.co.uk,"Norwich, UK",255.255.255.0,No shopping history,38,Cleared
AL0039,WX989,xxxx-xxxx-xxxx-9898,09/2029,PHS068,Wallet,210,Kingfisher Plc,lmnopqrstu@example.com,"Cardiff, UK",172.16.255.255,Compromised card,52,Investigating
AL0040,YZ000,xxxx-xxxx-xxxx-0000,04/2027,SXE405,Online,17000,Standard Chartered,vwxyzabcd@test.org,"London, UK",104.135.196.55,High amount,87,Resolved
AL0042,CD444,xxxx-xxxx-xxxx-4444,05/2034,XKC743,Telephone,0,Legal & General,opqrstuvwx@web.info,"Manchester, UK",107.189.8.238,Suspicious zero amount attempt,96,Escalated
AL0043,EF666,xxxx-xxxx-xxxx-6666,08/2027,NER382,In store,789.01,Prudential Plc,yzabcdefgh@domain.co.uk,"Glasgow, UK",1.2.3.4,Abnormal spending pattern,63,Under Review
AL0044,GH888,xxxx-xxxx-xxxx-8888,01/2023,KXQ652,POS,123.45,Aviva,ijklmnopqr@example.com,"London, UK",192.42.116.198,Incorrect expiration dates,28,Dismissed
AL0045,IJ000,xxxx-xxxx-xxxx-0000,06/2030,OLV947,ATM,19000,RSA Insurance Group,stuvwxyza@test.org,"Edinburgh, UK",200.200.200.200,High amount,83,Action Required
AL0046,KL111,xxxx-xxxx-xxxx-1111,03/2035,KPI589,Wallet,6.78,Centrica,bcdefghijklm@mail.net,"Venice, Italy",72.217.36.105,Low value foreign,19,Fraud Detected
AL0047,MN222,xxxx-xxxx-xxxx-2222,10/2028,ZMK684,Online,0,SSE,nopqrstuvwx@web.info,"Bristol, UK",185.220.100.240,Suspicious zero amount attempt,97,Escalated
AL0048,OP333,xxxx-xxxx-xxxx-3333,04/2031,GEA929,Subscription,456.78,National Express,yzabcdefgh@domain.co.uk,"Sheffield, UK",10.20.30.40,No shopping history,35,Closed
AL0049,QR444,xxxx-xxxx-xxxx-4444,11/2026,ZGJ693,Telephone,90.12,Go-Ahead Group,ijklmnopqrstu@example.com,"Birmingham, UK",50.60.70.80,Compromised card,57,Investigating
AL0051,UV666,xxxx-xxxx-xxxx-6666,08/2029,MRG336,POS,0,FirstGroup,fghijklmnopqrst@mail.net,"New York, USA",136.226.102.90,Foreign IP,93,Escalated
AL0052,WX777,xxxx-xxxx-xxxx-7777,02/2032,ECI256,ATM,234.56,SSP Group,uvwxyzabcdefg@web.info,"Newcastle, UK",192.168.10.1,Abnormal spending pattern,67,Resolved
AL0053,YZ888,xxxx-xxxx-xxxx-8888,09/2025,WZZ178,Wallet,5.89,Mitchells & Butlers,hijklmnopqrs@domain.co.uk,"Rome, Italy",192.0.2.1,Low value foreign,13,Fraud Detected
AL0054,AB999,xxxx-xxxx-xxxx-9999,07/2030,DAE382,Online,0,Domino's Pizza Group,tuvwxyza@example.com,"Cardiff, UK",107.189.8.56,Suspicious zero amount attempt,99,Escalated
AL0055,CD000,xxxx-xxxx-xxxx-0000,01/2024,UVP381,Subscription,67.89,Just Eat Takeaway,bcdefghijk@test.org,"Leeds, UK",172.16.0.0,Incorrect expiration dates,29,Dismissed
AL0056,EF111,xxxx-xxxx-xxxx-1111,06/2034,MOU560,Telephone,15000,Deliveroo,lmnopqrstu@mail.net,"London, UK",104.248.169.251,High amount,84,Action Required
AL0057,GH222,xxxx-xxxx-xxxx-2222,03/2027,WIK212,In store,12.34,Ocado Group,vwxyzabcdef@web.info,"Johannesburg, South Africa",134.238.184.178,Foreign location,59,Under Review
AL0058,IJ333,xxxx-xxxx-xxxx-3333,10/2031,TKD684,POS,0,ASOS,ghijklmnopqrst@domain.co.uk,"Manchester, UK",185.220.101.7,Suspicious zero amount attempt,90,Escalated
AL0059,KL444,xxxx-xxxx-xxxx-4444,04/2032,SIU993,ATM,345.67,Boohoo Group,uvwxyzabcdefg@example.com,"Birmingham, UK",72.217.36.105,Suspicious IP address,78,Resolved
AL0060,MN555,xxxx-xxxx-xxxx-5555,11/2028,UIV063,Wallet,7.89,Hargreaves Lansdown,hijklmnopqrs@test.org,"Rome, Italy",192.42.116.198,Low value foreign,11,Fraud Detected
AL0061,OP666,xxxx-xxxx-xxxx-6666,05/2030,SDF527,Online,14000,Abrdn,tuvwxyza@mail.net,"Glasgow, UK",210.210.210.210,High amount,81,Investigating
AL0062,QR777,xxxx-xxxx-xxxx-7777,08/2026,DEM529,Subscription,876.54,M&G Plc,bcdefghijk@web.info,"Edinburgh, UK",22.33.44.55,Abnormal spending pattern,66,Cleared
AL0063,ST888,xxxx-xxxx-xxxx-8888,02/2025,LFL819,Telephone,1.23,Phoenix Group Holdings,lmnopqrstu@domain.co.uk,"London, UK",10.0.0.0,Incorrect expiration dates,24,Dismissed
AL0064,UV999,xxxx-xxxx-xxxx-9999,09/2033,GQI839,In store,0,Intermediate Capital Group,vwxyzabcdef@example.com,"Sydney, Australia",107.189.8.56,Suspicious zero amount attempt,95,Escalated
AL0065,WX000,xxxx-xxxx-xxxx-0000,07/2027,NOS743,POS,567.89,Schroders,ghijklmnopqrst@test.org,"Liverpool, UK",192.168.1.2,No shopping history,39,Closed
AL0066,YZ111,xxxx-xxxx-xxxx-1111,01/2031,MJA714,ATM,123.45,F&C Investment Trust,uvwxyzabcdefg@mail.net,"Bristol, UK",104.135.196.55,Compromised card,51,Investigating
AL0067,AB234,xxxx-xxxx-xxxx-2345,06/2032,RYK147,Wallet,17500,Scottish Mortgage Investment Trust,hijklmnopqrs@web.info,"Sheffield, UK",134.238.184.178,High amount,85,Action Required
AL0068,CD567,xxxx-xxxx-xxxx-5678,03/2024,YSF856,Online,4.99,Alliance Trust,tuvwxyza@domain.co.uk,"Abu Dhabi, UAE",192.0.2.1,Low value foreign,12,Fraud Detected
AL0070,GH123,xxxx-xxxx-xxxx-1234,04/2035,BAP261,Telephone,89.01,Sainsbury's,lmnopqrstu@test.org,"Cardiff, UK",255.255.255.0,Abnormal spending pattern,64,Under Review
AL0074,OP345,xxxx-xxxx-xxxx-3456,01/2032,DXJ314,Wallet,32.1,BT Group,hijklmnopqrs@example.com,"Birmingham, UK",104.248.169.251,Foreign IP,71,Pending Action
AL0075,QR678,xxxx-xxxx-xxxx-6789,06/2025,OLR113,Online,45.67,Vodafone,tuvwxyza@test.org,"Glasgow, UK",134.238.184.178,No shopping history,36,Cleared
AL0076,ST901,xxxx-xxxx-xxxx-9012,03/2030,SAU026,Subscription,16000,BP,bcdefghijk@mail.net,"Edinburgh, UK",136.226.102.90,High amount,88,Under Review
AL0078,WX567,xxxx-xxxx-xxxx-5678,04/2024,SVF643,In store,0,Unilever,vwxyzabcdef@domain.co.uk,"London, UK",185.220.101.7,Suspicious zero amount attempt,92,Escalated
AL0079,YZ890,xxxx-xxxx-xxxx-8901,11/2027,OMB675,POS,9.01,GlaxoSmithKline,ghijklmnopqrst@example.com,"Milan, Italy",192.42.116.198,Low value foreign,15,Fraud Detected
AL0083,GH444,xxxx-xxxx-xxxx-4444,01/2034,XAQ580,Subscription,0,Diageo,bcdefghijk@domain.co.uk,"Nottingham, UK",104.248.169.251,Suspicious zero amount attempt,91,Escalated
AL0084,IJ555,xxxx-xxxx-xxxx-5555,06/2027,FXD318,Telephone,78.9,Reckitt Benckiser,lmnopqrstu@example.com,"Newcastle, UK",134.238.184.178,Abnormal spending pattern,61,Investigating
AL0086,MN777,xxxx-xxxx-xxxx-7777,10/2026,RUT321,POS,9.87,National Grid,ghijklmnopqrst@mail.net,"Milan, Italy",185.220.100.240,Low value foreign,14,Fraud Detected
AL0087,OP888,xxxx-xxxx-xxxx-8888,04/2035,XUY381,ATM,0,Severn Trent,uvwxyzabcdefg@web.info,"Liverpool, UK",185.220.101.7,Suspicious zero amount attempt,93,Escalated
AL0088,QR999,xxxx-xxxx-xxxx-9999,11/2028,IKP414,Wallet,34.56,United Utilities,hijklmnopqrs@domain.co.uk,"London, UK",192.42.116.198,No shopping history,41,Cleared
AL0089,ST000,xxxx-xxxx-xxxx-0000,05/2031,NPW270,Online,17000,Rolls-Royce,tuvwxyza@example.com,"Edinburgh, UK",72.217.36.105,High amount,85,Action Required
AL0090,UV121,xxxx-xxxx-xxxx-1212,12/2023,ALW965,Subscription,56.78,BAE Systems,bcdefghijk@test.org,"London, UK",107.189.8.56,Incorrect expiration dates,26,Dismissed
AL0091,WX343,xxxx-xxxx-xxxx-3434,07/2029,HPX338,Telephone,1.23,ITV,lmnopqrstu@mail.net,"Casablanca, Morocco",104.135.196.55,Foreign location,17,Fraud Detected
AL0093,AB787,xxxx-xxxx-xxxx-7878,08/2027,DTI976,POS,876.54,Royal Mail,ghijklmnopqrst@domain.co.uk,"Manchester, UK",134.238.184.178,Abnormal spending pattern,69,Under Review
AL0097,IJ575,xxxx-xxxx-xxxx-5757,11/2028,QOC905,Subscription,234.56,Jaguar Land Rover,bcdefghijk@web.info,"Bristol, UK",192.42.116.198,No shopping history,43,Cleared
AL0098,KL797,xxxx-xxxx-xxxx-7979,05/2031,BCD625,Telephone,16500,Next Plc,lmnopqrstu@domain.co.uk,"Sheffield, UK",72.217.36.105,High amount,77,Investigating
AL0100,OP101,xxxx-xxxx-xxxx-1010,07/2029,AEY686,POS,0,JD Sports,ghijklmnopqrst@test.org,"Nottingham, UK",104.135.196.55,Suspicious zero amount attempt,90,Escalated
AL0101,QR323,xxxx-xxxx-xxxx-3232,01/2033,YZX179,ATM,567.89,Greggs,uvwxyzabcdefg@mail.net,"Newcastle, UK",104.248.169.251,Compromised card,53,Under Review
AL0102,ST545,xxxx-xxxx-xxxx-5454,08/2027,TDW492,Wallet,18000,Whitbread,hijklmnopqrs@web.info,"Coventry, UK",134.238.184.178,High amount,81,Action Required
AL0103,UV767,xxxx-xxxx-xxxx-7676,02/2025,DUW690,Online,12.34,WPP,tuvwxyza@domain.co.uk,"London, UK",136.226.102.90,Incorrect expiration dates,25,Dismissed
AL0105,YZ000,xxxx-xxxx-xxxx-0000,04/2031,NAK760,Telephone,0,Experian,lmnopqrstu@test.org,"Cardiff, UK",185.220.101.7,Suspicious zero amount attempt,98,Escalated
AL0106,AB222,xxxx-xxxx-xxxx-2222,11/2029,KEK505,In store,890.12,Persimmon,vwxyzabcdef@mail.net,"Leeds, UK",192.42.116.198,Abnormal spending pattern,65,Investigating
AL0107,CD444,xxxx-xxxx-xxxx-4444,05/2032,HNW643,POS,19000,Taylor Wimpey,ghijklmnopqrst@web.info,"Manchester, UK",72.217.36.105,High amount,88,Under Review
AL0108,EF666,xxxx-xxxx-xxxx-6666,12/2026,PIL980,ATM,6.78,Barratt Developments,uvwxyzabcdefg@domain.co.uk,"Rome, Italy",107.189.8.56,Low value foreign,19,Fraud Detected
AL0110,IJ000,xxxx-xxxx-xxxx-0000,01/2035,UBF198,Online,345.67,Standard Chartered,tuvwxyza@test.org,"Glasgow, UK",104.248.169.251,No shopping history,37,Cleared
AL0111,KL111,xxxx-xxxx-xxxx-1111,08/2027,LIO368,Subscription,123.45,NatWest Group,bcdefghijk@mail.net,"Edinburgh, UK",134.238.184.178,Compromised card,56,Investigating
AL0112,MN222,xxxx-xxxx-xxxx-2222,02/2031,PVG462,Telephone,16000,Legal & General,lmnopqrstu@web.info,"Liverpool, UK",136.226.102.90,High amount,83,Action Required
AL0113,OP333,xxxx-xxxx-xxxx-3333,09/2025,YDF702,In store,0,Prudential Plc,vwxyzabcdef@domain.co.uk,"London, UK",185.220.100.240,Suspicious zero amount attempt,94,Escalated
AL0114,QR444,xxxx-xxxx-xxxx-4444,04/2033,KTL491,POS,9.01,Aviva,ghijklmnopqrst@example.com,"Rome, Italy",185.220.101.7,Low value foreign,11,Fraud Detected
AL0116,UV666,xxxx-xxxx-xxxx-6666,05/2032,JKF606,Wallet,78.9,Centrica,hijklmnopqrs@mail.net,"Sheffield, UK",72.217.36.105,Abnormal spending pattern,68,Under Review
AL0117,WX777,xxxx-xxxx-xxxx-7777,12/2024,TVE390,Online,1.23,SSE,tuvwxyza@web.info,"London, UK",107.189.8.56,Incorrect expiration dates,20,Dismissed
AL0118,YZ888,xxxx-xxxx-xxxx-8888,07/2030,XRR421,Subscription,14000,National Express,bcdefghijk@domain.co.uk,"Nottingham, UK",104.135.196.55,High amount,84,Action Required
AL0120,CD000,xxxx-xxxx-xxxx-0000,08/2028,ZBO179,In store,0,Stagecoach Group,vwxyzabcdef@test.org,"Coventry, UK",134.238.184.178,Suspicious zero amount attempt,91,Escalated
AL0121,EF111,xxxx-xxxx-xxxx-1111,02/2031,ZXQ251,POS,9.87,FirstGroup,ghijklmnopqrst@mail.net,"Milan, Italy",136.226.102.90,Low value foreign,12,Fraud Detected
AL0122,GH222,xxxx-xxxx-xxxx-2222,09/2025,DHZ905,ATM,12000,SSP Group,uvwxyzabcdefg@web.info,"Liverpool, UK",185.220.100.240,High amount,86,Investigating
AL0123,IJ333,xxxx-xxxx-xxxx-3333,04/2033,GZQ976,Wallet,23.45,Mitchells & Butlers,hijklmnopqrs@domain.co.uk,"Bristol, UK",185.220.101.7,Compromised card,54,Under Review
AL0124,KL444,xxxx-xxxx-xxxx-4444,11/2027,XLN107,Online,0,Domino's Pizza Group,tuvwxyza@example.com,"Sheffield, UK",192.42.116.198,Suspicious zero amount attempt,93,Escalated
AL0125,MN555,xxxx-xxxx-xxxx-5555,05/2030,VIU954,Subscription,789.01,Just Eat Takeaway,bcdefghijk@test.org,"Birmingham, UK",72.217.36.105,Abnormal spending pattern,66,Cleared
AL0127,QR777,xxxx-xxxx-xxxx-7777,07/2035,JKL307,In store,3.45,Ocado Group,vwxyzabcdef@web.info,"Sydney, Australia",104.135.196.55,Low value foreign,10,Fraud Detected
AL0128,ST888,xxxx-xxxx-xxxx-8888,01/2031,FVD856,POS,0,ASOS,ghijklmnopqrst@domain.co.uk,"Cardiff, UK",104.248.169.251,Suspicious zero amount attempt,95,Escalated
AL0129,UV999,xxxx-xxxx-xxxx-9999,08/2029,HRS422,ATM,890.12,Boohoo Group,uvwxyzabcdefg@example.com,"Leeds, UK",134.238.184.178,No shopping history,44,Closed
AL0131,YZ111,xxxx-xxxx-xxxx-1111,10/2026,DUK150,Online,5.67,Abrdn,tuvwxyza@mail.net,"Rome, Italy",185.220.100.240,Low value foreign,14,Fraud Detected
AL0132,AB234,xxxx-xxxx-xxxx-2345,04/2035,DQB842,Subscription,0,M&G Plc,bcdefghijk@web.info,"Birmingham, UK",185.220.101.7,Suspicious zero amount attempt,97,Escalated
AL0133,CD567,xxxx-xxxx-xxxx-5678,11/2028,BCH094,Telephone,234.56,Phoenix Group Holdings,lmnopqrstu@domain.co.uk,"Glasgow, UK",192.42.116.198,Abnormal spending pattern,60,Investigating
AL0134,EF890,xxxx-xxxx-xxxx-8901,05/2031,CNZ758,In store,18000,Intermediate Capital Group,vwxyzabcdef@example.com,"Edinburgh, UK",72.217.36.105,High amount,87,Action Required
AL0135,GH123,xxxx-xxxx-xxxx-1234,12/2023,BLC793,POS,7.89,Schroders,ghijklmnopqrst@mail.net,"Lagos, Nigeria",107.189.8.56,Low value foreign,13,Fraud Detected
AL0136,IJ456,xxxx-xxxx-xxxx-4567,07/2029,YYK903,ATM,0,F&C Investment Trust,uvwxyzabcdefg@web.info,"Liverpool, UK",104.135.196.55,Suspicious zero amount attempt,90,Escalated
AL0138,MN012,xxxx-xxxx-xxxx-0123,08/2027,ZQR694,Online,19000,Alliance Trust,tuvwxyza@example.com,"Sheffield, UK",134.238.184.178,High amount,85,Investigating
AL0139,OP345,xxxx-xxxx-xxxx-3456,02/2025,JLH025,Subscription,1.23,Tesco,bcdefghijk@test.org,"London, UK",136.226.102.90,Incorrect expiration dates,21,Dismissed
AL0140,QR678,xxxx-xxxx-xxxx-6789,09/2034,FGE187,Telephone,4.56,Sainsbury's,lmnopqrstu@mail.net,"Adelaide, Australia",185.220.100.240,Low value foreign,10,Fraud Detected
AL0141,ST901,xxxx-xxxx-xxxx-9012,04/2031,AKT891,In store,0,Barclays,vwxyzabcdef@web.info,"Nottingham, UK",185.220.101.7,Suspicious zero amount attempt,96,Escalated
AL0143,WX567,xxxx-xxxx-xxxx-5678,05/2032,ASK510,ATM,12000,HSBC,uvwxyzabcdefg@example.com,"Coventry, UK",72.217.36.105,High amount,80,Resolved
AL0144,YZ890,xxxx-xxxx-xxxx-8901,12/2026,WCN933,Wallet,6.78,BT Group,hijklmnopqrs@test.org,"Rome, Italy",107.189.8.56,Low value foreign,19,Fraud Detected
AL0145,AB111,xxxx-xxxx-xxxx-1111,07/2028,AHY718,Online,0,Vodafone,tuvwxyza@mail.net,"London, UK",104.135.196.55,Suspicious zero amount attempt,93,Escalated
AL0147,EF333,xxxx-xxxx-xxxx-3333,08/2027,IEO078,Telephone,16000,Shell,lmnopqrstu@domain.co.uk,"Liverpool, UK",134.238.184.178,High amount,89,Action Required
AL0148,GH444,xxxx-xxxx-xxxx-4444,02/2025,MXN754,In store,9.87,Unilever,vwxyzabcdef@example.com,"London, UK",136.226.102.90,Incorrect expiration dates,24,Dismissed
AL0149,IJ555,xxxx-xxxx-xxxx-5555,09/2033,ZII164,POS,0,GlaxoSmithKline,ghijklmnopqrst@test.org,"Bristol, UK",185.220.100.240,Suspicious zero amount attempt,98,Escalated
AL0150,KL666,xxxx-xxxx-xxxx-6666,04/2030,XBX528,ATM,890.12,AstraZeneca,uvwxyzabcdefg@mail.net,"Sheffield, UK",185.220.101.7,Abnormal spending pattern,67,Investigating
AL0151,MN777,xxxx-xxxx-xxxx-7777,11/2028,XQI517,Wallet,14000,Rio Tinto,hijklmnopqrs@web.info,"Birmingham, UK",192.42.116.198,High amount,86,Under Review
AL0152,OP888,xxxx-xxxx-xxxx-8888,05/2031,SNA920,Online,5.67,BHP Group,tuvwxyza@domain.co.uk,"Rome, Italy",72.217.36.105,Low value foreign,15,Fraud Detected
AL0153,QR999,xxxx-xxxx-xxxx-9999,12/2023,SQF344,Subscription,0,Diageo,bcdefghijk@example.com,"Nottingham, UK",107.189.8.56,Suspicious zero amount attempt,91,Escalated
AL0155,UV121,xxxx-xxxx-xxxx-1212,01/2033,JWM125,In store,18000,London Stock Exchange,vwxyzabcdef@mail.net,"Coventry, UK",104.248.169.251,High amount,83,Action Required
AL0156,WX343,xxxx-xxxx-xxxx-3434,08/2027,CEX981,POS,1.23,National Grid,ghijklmnopqrst@web.info,"Adelaide, Australia",134.238.184.178,Foreign location,11,Fraud Detected
AL0157,YZ565,xxxx-xxxx-xxxx-5656,02/2030,RKN940,ATM,0,Severn Trent,uvwxyzabcdefg@domain.co.uk,"Liverpool, UK",136.226.102.90,Suspicious zero amount attempt,95,Escalated
AL0159,CD909,xxxx-xxxx-xxxx-9090,04/2024,XBW703,Online,56.78,Rolls-Royce,tuvwxyza@test.org,"London, UK",185.220.101.7,Incorrect expiration dates,22,Dismissed
AL0161,GH353,xxxx-xxxx-xxxx-3535,05/2030,PKJ571,Telephone,9.01,ITV,lmnopqrstu@web.info,"Milan, Italy",72.217.36.105,Low value foreign,16,Fraud Detected
AL0162,IJ575,xxxx-xxxx-xxxx-5757,12/2028,FYU532,In store,0,BBC Studios,vwxyzabcdef@domain.co.uk,"Sheffield, UK",107.189.8.56,Suspicious zero amount attempt,99,Escalated
AL0164,MN919,xxxx-xxxx-xxxx-9191,01/2032,PLG447,ATM,17000,EasyJet,uvwxyzabcdefg@test.org,"Nottingham, UK",104.248.169.251,High amount,84,Action Required
AL0165,OP101,xxxx-xxxx-xxxx-1010,08/2026,XRF985,Wallet,1.23,Ryanair,hijklmnopqrs@mail.net,"Rome, Italy",134.238.184.178,Low value foreign,13,Fraud Detected
AL0166,QR323,xxxx-xxxx-xxxx-3232,03/2035,NXV396,Online,0,British Airways,tuvwxyza@web.info,"Newcastle, UK",136.226.102.90,Suspicious zero amount attempt,90,Escalated
AL0167,ST545,xxxx-xxxx-xxxx-5454,10/2029,UCC405,Subscription,34.56,Jaguar Land Rover,bcdefghijk@domain.co.uk,"Coventry, UK",185.220.100.240,No shopping history,46,Closed
AL0168,UV767,xxxx-xxxx-xxxx-7676,04/2031,LXK138,Telephone,15000,Next Plc,lmnopqrstu@example.com,"Liverpool, UK",185.220.101.7,High amount,81,Investigating
AL0169,WX989,xxxx-xxxx-xxxx-9898,11/2024,ONY416,In store,4.56,Marks & Spencer,vwxyzabcdef@test.org,"London, UK",192.42.116.198,Incorrect expiration dates,20,Dismissed
AL0170,YZ000,xxxx-xxxx-xxxx-0000,06/2030,ZRW054,POS,0,JD Sports,ghijklmnopqrst@mail.net,"Milan, Italy",72.217.36.105,Suspicious zero amount attempt,94,Escalated
AL0171,AB222,xxxx-xxxx-xxxx-2222,01/2034,RCP624,ATM,89.01,Greggs,uvwxyzabcdefg@web.info,"Edinburgh, UK",107.189.8.56,Abnormal spending pattern,63,Under Review
AL0172,CD444,xxxx-xxxx-xxxx-4444,08/2027,UAP518,Wallet,16000,Whitbread,hijklmnopqrs@domain.co.uk,"Bristol, UK",104.135.196.55,High amount,88,Resolved
AL0173,EF666,xxxx-xxxx-xxxx-6666,02/2025,SMF224,Online,6.78,WPP,tuvwxyza@example.com,"Sydney, Australia",104.248.169.251,Low value foreign,17,Fraud Detected
AL0174,GH888,xxxx-xxxx-xxxx-8888,09/2033,GJK365,Subscription,0,Sage Group,bcdefghijk@test.org,"Sheffield, UK",134.238.184.178,Suspicious zero amount attempt,91,Escalated
AL0175,IJ000,xxxx-xxxx-xxxx-0000,04/2030,WVZ127,Telephone,234.56,Experian,lmnopqrstu@mail.net,"Birmingham, UK",136.226.102.90,No shopping history,41,Closed
AL0176,KL111,xxxx-xxxx-xxxx-1111,11/2028,WBI152,In store,18000,Persimmon,vwxyzabcdef@web.info,"Nottingham, UK",185.220.100.240,High amount,85,Action Required
AL0177,MN222,xxxx-xxxx-xxxx-2222,05/2031,LUM049,POS,9.87,Taylor Wimpey,ghijklmnopqrst@domain.co.uk,"Rome, Italy",185.220.101.7,Low value foreign,14,Fraud Detected
AL0178,OP333,xxxx-xxxx-xxxx-3333,12/2023,ZIB509,ATM,0,Barratt Developments,uvwxyzabcdefg@example.com,"Newcastle, UK",192.42.116.198,Suspicious zero amount attempt,96,Escalated
